f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV0300m jV0300f jV0500m jV0500f 
1 0.0192274 87.4504 0.0195855 87.7719 0 0 0.0398872 -75.1051 1 -0 3.80198e-05 -74.236 6.27961e-06 -91.122
1.02353 0.019679 87.3905 0.0200455 87.7195 0 0 0.0409113 -74.7802 1 -0 3.90042e-05 -73.8947 6.4272e-06 -91.1484
1.04762 0.0201412 87.3292 0.0205163 87.6659 0 0 0.0419655 -74.4495 1 -0 4.0018e-05 -73.5473 6.57825e-06 -91.1753
1.07227 0.0206142 87.2664 0.0209982 87.6111 0 0 0.0430509 -74.1127 1 -0 4.10623e-05 -73.1939 6.73284e-06 -91.2029
1.0975 0.0210982 87.2022 0.0214913 87.5549 0 0 0.0441686 -73.77 1 -0 4.21383e-05 -72.8343 6.89106e-06 -91.2312
1.12332 0.0215936 87.1364 0.0219959 87.4975 0 0 0.0453199 -73.4212 1 -0 4.32472e-05 -72.4685 7.05298e-06 -91.2601
1.14976 0.0221006 87.0691 0.0225123 87.4387 0 0 0.0465061 -73.0664 1 -0 4.43903e-05 -72.0967 7.2187e-06 -91.2897
1.17681 0.0226194 87.0003 0.0230408 87.3785 0 0 0.0477285 -72.7056 1 -0 4.55689e-05 -71.7187 7.3883e-06 -91.3199
1.2045 0.0231503 86.9298 0.0235816 87.317 0 0 0.0489884 -72.3388 1 -0 4.67846e-05 -71.3347 7.56187e-06 -91.3509
1.23285 0.0236936 86.8577 0.0241351 87.2539 0 0 0.0502875 -71.9658 1 -0 4.80386e-05 -70.9445 7.7395e-06 -91.3826
1.26186 0.0242496 86.7839 0.0247015 87.1894 0 0 0.0516272 -71.5869 1 -0 4.93327e-05 -70.5483 7.92129e-06 -91.415
1.29155 0.0248186 86.7083 0.0252811 87.1235 0 0 0.0530092 -71.202 1 -0 5.06684e-05 -70.1461 8.10734e-06 -91.4482
1.32194 0.0254008 86.631 0.0258742 87.0559 0 0 0.0544351 -70.8111 1 -0 5.20475e-05 -69.7379 8.29774e-06 -91.4822
1.35305 0.0259966 86.5519 0.0264811 86.9868 0 0 0.0559068 -70.4142 1 -0 5.34717e-05 -69.3237 8.49259e-06 -91.5169
1.38489 0.0266063 86.4709 0.0271022 86.9161 0 0 0.0574261 -70.0114 1 -0 5.4943e-05 -68.9038 8.692e-06 -91.5525
1.41747 0.0272302 86.3881 0.0277378 86.8437 0 0 0.0589951 -69.6029 1 -0 5.64633e-05 -68.478 8.89607e-06 -91.5889
1.45083 0.0278686 86.3033 0.0283881 86.7696 0 0 0.0606157 -69.1885 1 -0 5.80347e-05 -68.0466 9.10491e-06 -91.6261
