f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f jV0013m jV0013f jV0015m jV0015f jV0010m jV0010f jV0012m jV0012f
1.0000000000e+003 4.342904322017360e+001 -0.003256647874498 0.000000000000000e+000 0.000000000000000 4.342947314225029e+001 -0.003653850147574 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342922918544310e+002 -0.157647484224621 0.000000000000000e+000 179.999999999988148 4.584746805164341e+001 -0.019535340016133 4.342904322017360e+001 179.996743352113668 0.000000000000000e+000 0.000000000000000 4.342947314225029e+001 179.996346149840576 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342922918544310e+002 179.842352515763537 0.000000000000000e+000 0.000000000000000 4.584746805164297e+001 179.980464659972029 1.088995877824915e+002 179.842350712606361 8.671013220319926e+000 179.980128652567487 7.999999987077909e-001 179.996719380731378 7.966048228310414e-001 179.995815623751298 1.088995877824915e+002 179.842350712606361 8.671013220319823e+000 179.980128652567487 7.999999987077909e-001 179.996719380731378 7.966048228310414e-001 179.995815623751298
1.2915496650e+003 4.342904317330431e+001 -0.004206122468354 0.000000000000000e+000 0.000000000000000 4.342947308325020e+001 -0.004719128929840 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342911935568490e+002 -0.203609212163065 0.000000000000000e+000 179.999999999988148 4.584746627121783e+001 -0.025230861200584 4.342904317330431e+001 179.995793877519787 0.000000000000000e+000 0.000000000000000 4.342947308325020e+001 179.995280871058327 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342911935568490e+002 179.796390787825089 0.000000000000000e+000 0.000000000000000 4.584746627121739e+001 179.974769138787565 1.088993123823609e+002 179.796388458958063 8.671012883692251e+000 179.974335168536783 7.999999978444653e-001 179.995762917289056 7.966048217716479e-001 179.994595670265426 1.088993123823609e+002 179.796388458958063 8.671012883692150e+000 179.974335168536783 7.999999978444653e-001 179.995762917289056 7.966048217716479e-001 179.994595670265426
1.6681005372e+003 4.342904309512161e+001 -0.005432416058494 0.000000000000000e+000 0.000000000000000 4.342947298483215e+001 -0.006094989379289 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342893615046052e+002 -0.262970670199790 0.000000000000000e+000 179.999999999988148 4.584746330128944e+001 -0.032586908924364 4.342904309512161e+001 179.994567583929665 0.000000000000000e+000 0.000000000000000 4.342947298483215e+001 179.993905010608870 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342893615046052e+002 179.737029329788356 0.000000000000000e+000 0.000000000000000 4.584746330128900e+001 179.967413091063776 1.088988529919045e+002 179.737026321940931 8.671012322163536e+000 179.966852596931773 7.999999964043513e-001 179.994527597254034 7.966048200044732e-001 179.993020039754384 1.088988529919045e+002 179.737026321940931 8.671012322163435e+000 179.966852596931773 7.999999964043513e-001 179.994527597254034 7.966048200044732e-001 179.993020039754384
2.1544346900e+003 4.342904296470502e+001 -0.007016235126523 0.000000000000000e+000 0.000000000000000 4.342947282066092e+001 -0.007871981471251 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342863055088675e+002 -0.339638087685838 0.000000000000000e+000 179.999999999988148 4.584745834715157e+001 -0.042087608273227 4.342904296470502e+001 179.992983764861634 0.000000000000000e+000 0.000000000000000 4.342947282066092e+001 179.992128018516894 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342863055088675e+002 179.660361912302307 0.000000000000000e+000 0.000000000000000 4.584745834715113e+001 179.957912391714927 1.088980866953750e+002 179.660358027517987 8.671011385477428e+000 179.957188485706496 7.999999940020966e-001 179.992932120084106 7.966048170566481e-001 179.990985034706313 1.088980866953750e+002 179.660358027517987 8.671011385477325e+000 179.957188485706496 7.999999940020966e-001 179.992932120084106 7.966048170566481e-001 179.990985034706313
2.7825594022e+003 4.342904274715703e+001 -0.009061816097064 0.000000000000000e+000 0.000000000000000 4.342947254680683e+001 -0.010167054989457 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342812079442958e+002 -0.438656025751601 0.000000000000000e+000 179.999999999988148 4.584745008315510e+001 -0.054358229834521 4.342904274715703e+001 179.990938183891103 0.000000000000000e+000 0.000000000000000 4.342947254680683e+001 179.989832944998682 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342812079442958e+002 179.561343974236564 0.000000000000000e+000 0.000000000000000 4.584745008315465e+001 179.945641770153628 1.088968084717204e+002 179.561338956844651 8.671009822991500e+000 179.944706809590969 7.999999899948943e-001 179.990871482095997 7.966048121393799e-001 179.988356724641136 1.088968084717204e+002 179.561338956844651 8.671009822991397e+000 179.944706809590969 7.999999899948943e-001 179.990871482095997 7.966048121393799e-001 179.988356724641136
3.5938136638e+003 4.342904238426511e+001 -0.011703785479392 0.000000000000000e+000 0.000000000000000 4.342947208999068e+001 -0.013131256373740 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342727050935330e+002 -0.566538648027052 0.000000000000000e+000 179.999999999988148 4.584743629798810e+001 -0.070206339460727 4.342904238426511e+001 179.988296214508750 0.000000000000000e+000 0.000000000000000 4.342947208999068e+001 179.986868743614423 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342727050935330e+002 179.433461351961114 0.000000000000000e+000 0.000000000000000 4.584743629798766e+001 179.929793660527423 1.088946763663151e+002 179.433454871750257 8.671007216609770e+000 179.928586112526006 7.999999833104778e-001 179.988210065827644 7.966048039368817e-001 179.984962131706396 1.088946763663151e+002 179.433454871750257 8.671007216609667e+000 179.928586112526006 7.999999833104778e-001 179.988210065827644 7.966048039368817e-001 179.984962131706396
4.6415888336e+003 4.342904177892492e+001 -0.015116020074851 0.000000000000000e+000 0.000000000000000 4.342947132797546e+001 -0.016959669572345 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342585225949487e+002 -0.731696869839337 0.000000000000000e+000 179.999999999988148 4.584741330297128e+001 -0.090674943893413 4.342904177892492e+001 179.984883979913292 0.000000000000000e+000 0.000000000000000 4.342947132797546e+001 179.983040330415804 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342585225949487e+002 179.268303130148809 0.000000000000000e+000 0.000000000000000 4.584741330297085e+001 179.909325056094730 1.088911200788140e+002 179.268294760634689 8.671002868908230e+000 179.907765447878148 7.999999721601999e-001 179.984772714613058 7.966047902542913e-001 179.980577846445300 1.088911200788140e+002 179.268294760634689 8.671002868908129e+000 179.907765447878148 7.999999721601999e-001 179.984772714613058 7.966047902542913e-001 179.980577846445300
5.9948425032e+003 4.342904076915669e+001 -0.019523090361411 0.000000000000000e+000 0.000000000000000 4.342947005685752e+001 -0.021904255127522 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342348678532632e+002 -0.944988527910242 0.000000000000000e+000 179.999999999988148 4.584737494504840e+001 -0.117111128090560 4.342904076915669e+001 179.980476909626731 0.000000000000000e+000 0.000000000000000 4.342947005685752e+001 179.978095744860639 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.342348678532632e+002 179.055011472077922 0.000000000000000e+000 0.000000000000000 4.584737494504795e+001 179.882888871897592 1.088851886090029e+002 179.055000662434736 8.670995616519519e+000 179.880874560428254 7.999999535604160e-001 179.980333204965490 7.966047674303560e-001 179.974915324514740 1.088851886090029e+002 179.055000662434736 8.670995616519416e+000 179.880874560428254 7.999999535604160e-001 179.980333204965490 7.966047674303560e-001 179.974915324514740
7.7426368268e+003 4.342903908476192e+001 -0.025215040164359 0.000000000000000e+000 0.000000000000000 4.342946793650527e+001 -0.028290432451537 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.341954179665768e+002 -1.220425691033818 0.000000000000000e+000 179.999999999988148 4.584731096039084e+001 -0.151254697527105 4.342903908476192e+001 179.974784959823808 0.000000000000000e+000 0.000000000000000 4.342946793650527e+001 179.971709567536607 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.341954179665768e+002 178.779574308954324 0.000000000000000e+000 0.000000000000000 4.584731096039041e+001 179.848745302461055 1.088752964776475e+002 178.779560347763322 8.670983518846530e+000 179.846143719158277 7.999999225341097e-001 179.974599358116677 7.966047293577422e-001 179.967601896707095 1.088752964776475e+002 178.779560347763322 8.670983518846429e+000 179.846143719158277 7.999999225341097e-001 179.974599358116677 7.966047293577422e-001 179.967601896707095
1.0000000000e+004 4.342903627502254e+001 -0.032566475272973 0.000000000000000e+000 0.000000000000000 4.342946439954523e+001 -0.036538496572076 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.341296355093203e+002 -1.576081170802055 0.000000000000000e+000 179.999999999988148 4.584720422814535e+001 -0.195352650735618 4.342903627502254e+001 179.967433524715176 0.000000000000000e+000 0.000000000000000 4.342946439954523e+001 179.963461503416084 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.341296355093203e+002 178.423918829186107 0.000000000000000e+000 0.000000000000000 4.584720422814491e+001 179.804647349252548 1.088588014059827e+002 178.423900797614522 8.670963338824439e+000 179.801287275210882 7.999998707791192e-001 179.967193810892553 7.966046658488070e-001 179.958156242538280 1.088588014059827e+002 178.423900797614522 8.670963338824336e+000 179.801287275210882 7.999998707791192e-001 179.967193810892553 7.966046658488070e-001 179.958156242538280
