f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f jV0013m jV0013f jV0015m jV0015f jV0010m jV0010f jV0012m jV0012f 
1000 43.429 -0.00325665 0 0 43.4295 -0.00365385 0 0 0 0 434.132 -1.56438 0 0 45.8475 -0.0282401 43.429 179.997 0 0 43.4295 179.996 0 0 0 0 434.132 178.436 0 0 45.8475 179.972 108.859 178.436 8.67101 179.971 0.991795 179.997 0.790198 179.996 108.859 178.436 8.67101 179.971 0.991795 179.997 0.790198 179.996
1291.55 43.429 -0.00420612 0 0 43.4295 -0.00471913 0 0 0 0 434.024 -2.02014 0 0 45.8475 -0.0364735 43.429 179.996 0 0 43.4295 179.995 0 0 0 0 434.024 177.98 0 0 45.8475 179.964 108.832 177.98 8.67101 179.963 0.991795 179.996 0.790198 179.995 108.832 177.98 8.67101 179.963 0.991795 179.996 0.790198 179.995
1668.1 43.429 -0.00543242 0 0 43.4295 -0.00609499 0 0 0 0 433.844 -2.6084 0 0 45.8475 -0.0471073 43.429 179.995 0 0 43.4295 179.994 0 0 0 0 433.844 177.392 0 0 45.8475 179.953 108.787 177.392 8.67101 179.952 0.991795 179.995 0.790198 179.993 108.787 177.392 8.67101 179.952 0.991795 179.995 0.790198 179.993
2154.43 43.429 -0.00701623 0 0 43.4295 -0.00787198 0 0 0 0 433.544 -3.36732 0 0 45.8474 -0.0608414 43.429 179.993 0 0 43.4295 179.992 0 0 0 0 433.544 176.633 0 0 45.8474 179.939 108.712 176.633 8.67101 179.938 0.991795 179.993 0.790198 179.991 108.712 176.633 8.67101 179.938 0.991795 179.993 0.790198 179.991
2782.56 43.429 -0.00906182 0 0 43.4295 -0.0101671 0 0 0 0 433.045 -4.34572 0 0 45.8474 -0.0785797 43.429 179.991 0 0 43.4295 179.99 0 0 0 0 433.045 175.654 0 0 45.8474 179.921 108.587 175.654 8.67101 179.92 0.991795 179.991 0.790198 179.988 108.587 175.654 8.67101 179.92 0.991795 179.991 0.790198 179.988
3593.81 43.429 -0.0117038 0 0 43.4295 -0.0131313 0 0 0 0 432.217 -5.60555 0 0 45.8474 -0.10149 43.429 179.988 0 0 43.4295 179.987 0 0 0 0 432.217 174.394 0 0 45.8474 179.899 108.379 174.394 8.671 179.897 0.991795 179.988 0.790198 179.985 108.379 174.394 8.671 179.897 0.991795 179.988 0.790198 179.985
4641.59 43.429 -0.015116 0 0 43.4295 -0.0169597 0 0 0 0 430.846 -7.2245 0 0 45.8474 -0.131079 43.429 179.985 0 0 43.4295 179.983 0 0 0 0 430.846 172.775 0 0 45.8474 179.869 108.035 172.775 8.67099 179.867 0.991795 179.985 0.790198 179.981 108.035 172.775 8.67099 179.867 0.991795 179.985 0.790198 179.981
5994.84 43.429 -0.0195231 0 0 43.4295 -0.0219043 0 0 0 0 428.588 -9.29808 0 0 45.8473 -0.169294 43.429 179.98 0 0 43.4295 179.978 0 0 0 0 428.588 170.702 0 0 45.8473 179.831 107.469 170.702 8.67098 179.829 0.991795 179.98 0.790198 179.975 107.469 170.702 8.67098 179.829 0.991795 179.98 0.790198 179.975
7742.64 43.429 -0.025215 0 0 43.4295 -0.0282904 0 0 0 0 424.899 -11.9396 0 0 45.8471 -0.218652 43.429 179.975 0 0 43.4295 179.972 0 0 0 0 424.899 168.06 0 0 45.8471 179.781 106.544 168.06 8.67095 179.779 0.991794 179.975 0.790198 179.968 106.544 168.06 8.67095 179.779 0.991794 179.975 0.790198 179.968
10000 43.429 -0.0325665 0 0 43.4295 -0.0365385 0 0 0 0 418.951 -15.2752 0 0 45.8469 -0.282399 43.429 179.967 0 0 43.4295 179.963 0 0 0 0 418.951 164.725 0 0 45.8469 179.718 105.053 164.725 8.67091 179.714 0.991794 179.967 0.790198 179.958 105.053 164.725 8.67091 179.714 0.991794 179.967 0.790198 179.958
