f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f
1.0000000000e+003 4.342904322017360e+001 -0.003256647874498 0.000000000000000e+000 0.000000000000000 4.342947314225029e+001 -0.003653850147574 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342922918544310e+002 -0.157647484224621 0.000000000000000e+000 179.999999999988148 4.584746805164341e+001 -0.019535340016133 1.088995877824915e+002 179.842350712606361 8.671013220319926e+000 179.980128652567487 7.999999987077909e-001 179.996719380731378 7.966048228310414e-001 179.995815623751298
1.2915496650e+003 4.342904317330431e+001 -0.004206122468354 0.000000000000000e+000 0.000000000000000 4.342947308325020e+001 -0.004719128929840 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342911935568490e+002 -0.203609212163065 0.000000000000000e+000 179.999999999988148 4.584746627121783e+001 -0.025230861200584 1.088993123823609e+002 179.796388458958063 8.671012883692251e+000 179.974335168536783 7.999999978444653e-001 179.995762917289056 7.966048217716479e-001 179.994595670265426
1.6681005372e+003 4.342904309512161e+001 -0.005432416058494 0.000000000000000e+000 0.000000000000000 4.342947298483215e+001 -0.006094989379289 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342893615046052e+002 -0.262970670199790 0.000000000000000e+000 179.999999999988148 4.584746330128944e+001 -0.032586908924364 1.088988529919045e+002 179.737026321940931 8.671012322163536e+000 179.966852596931773 7.999999964043513e-001 179.994527597254034 7.966048200044732e-001 179.993020039754384
2.1544346900e+003 4.342904296470502e+001 -0.007016235126523 0.000000000000000e+000 0.000000000000000 4.342947282066092e+001 -0.007871981471251 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342863055088675e+002 -0.339638087685838 0.000000000000000e+000 179.999999999988148 4.584745834715157e+001 -0.042087608273227 1.088980866953750e+002 179.660358027517987 8.671011385477428e+000 179.957188485706496 7.999999940020966e-001 179.992932120084106 7.966048170566481e-001 179.990985034706313
2.7825594022e+003 4.342904274715703e+001 -0.009061816097064 0.000000000000000e+000 0.000000000000000 4.342947254680683e+001 -0.010167054989457 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342812079442958e+002 -0.438656025751601 0.000000000000000e+000 179.999999999988148 4.584745008315510e+001 -0.054358229834521 1.088968084717204e+002 179.561338956844651 8.671009822991500e+000 179.944706809590969 7.999999899948943e-001 179.990871482095997 7.966048121393799e-001 179.988356724641136
3.5938136638e+003 4.342904238426511e+001 -0.011703785479392 0.000000000000000e+000 0.000000000000000 4.342947208999068e+001 -0.013131256373740 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342727050935330e+002 -0.566538648027052 0.000000000000000e+000 179.999999999988148 4.584743629798810e+001 -0.070206339460727 1.088946763663151e+002 179.433454871750257 8.671007216609770e+000 179.928586112526006 7.999999833104778e-001 179.988210065827644 7.966048039368817e-001 179.984962131706396
4.6415888336e+003 4.342904177892492e+001 -0.015116020074851 0.000000000000000e+000 0.000000000000000 4.342947132797546e+001 -0.016959669572345 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342585225949487e+002 -0.731696869839337 0.000000000000000e+000 179.999999999988148 4.584741330297128e+001 -0.090674943893413 1.088911200788140e+002 179.268294760634689 8.671002868908230e+000 179.907765447878148 7.999999721601999e-001 179.984772714613058 7.966047902542913e-001 179.980577846445300
5.9948425032e+003 4.342904076915669e+001 -0.019523090361411 0.000000000000000e+000 0.000000000000000 4.342947005685752e+001 -0.021904255127522 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.342348678532632e+002 -0.944988527910242 0.000000000000000e+000 179.999999999988148 4.584737494504840e+001 -0.117111128090560 1.088851886090029e+002 179.055000662434736 8.670995616519519e+000 179.880874560428254 7.999999535604160e-001 179.980333204965490 7.966047674303560e-001 179.974915324514740
7.7426368268e+003 4.342903908476192e+001 -0.025215040164359 0.000000000000000e+000 0.000000000000000 4.342946793650527e+001 -0.028290432451537 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.341954179665768e+002 -1.220425691033818 0.000000000000000e+000 179.999999999988148 4.584731096039084e+001 -0.151254697527105 1.088752964776475e+002 178.779560347763322 8.670983518846530e+000 179.846143719158277 7.999999225341097e-001 179.974599358116677 7.966047293577422e-001 179.967601896707095
1.0000000000e+004 4.342903627502254e+001 -0.032566475272973 0.000000000000000e+000 0.000000000000000 4.342946439954523e+001 -0.036538496572076 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.341296355093203e+002 -1.576081170802055 0.000000000000000e+000 179.999999999988148 4.584720422814535e+001 -0.195352650735618 1.088588014059827e+002 178.423900797614522 8.670963338824439e+000 179.801287275210882 7.999998707791192e-001 179.967193810892553 7.966046658488070e-001 179.958156242538280
