F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
1.0000e-002 1.00000e+000 58.310 9.98032e-001 -3.595 1.00000e+000 -0.000 6.27082e-002 -156.975 1.00000e+000 116.620 3.96348e-003 179.910 4.26570e-003 158.213 6.36698e+001 -30.790 6.34185e+001 -30.786 1.00000e+000 0.000 2.49508e-001 113.025 1.57702e-002 89.910 1.00000e+000 -121.690 1.56770e-002 -93.595 2.49508e-001 -66.975 1.57702e-002 -90.090
1.0235e-002 1.00000e+000 58.310 9.97938e-001 -3.680 1.00000e+000 -0.000 6.41778e-002 -157.059 1.00000e+000 116.620 4.15299e-003 179.907 4.45575e-003 158.664 6.22064e+001 -30.769 6.19492e+001 -30.765 1.00000e+000 0.000 2.49485e-001 112.941 1.61443e-002 89.907 1.00000e+000 -121.690 1.60444e-002 -93.680 2.49485e-001 -67.059 1.61443e-002 -90.093
1.0476e-002 1.00000e+000 58.310 9.97841e-001 -3.766 1.00000e+000 -0.000 6.56815e-002 -157.146 1.00000e+000 116.620 4.35160e-003 179.905 4.65489e-003 159.108 6.07767e+001 -30.747 6.05134e+001 -30.743 1.00000e+000 0.000 2.49460e-001 112.854 1.65275e-002 89.905 1.00000e+000 -121.690 1.64204e-002 -93.766 2.49460e-001 -67.146 1.65275e-002 -90.095
1.0723e-002 1.00000e+000 58.310 9.97738e-001 -3.854 1.00000e+000 -0.000 6.72202e-002 -157.234 1.00000e+000 116.620 4.55975e-003 179.903 4.86355e-003 159.545 5.93798e+001 -30.725 5.91103e+001 -30.721 1.00000e+000 0.000 2.49435e-001 112.766 1.69199e-002 89.903 1.00000e+000 -121.690 1.68050e-002 -93.854 2.49435e-001 -67.234 1.69199e-002 -90.097
1.0975e-002 1.00000e+000 58.310 9.97631e-001 -3.945 1.00000e+000 -0.000 6.87945e-002 -157.325 1.00000e+000 116.620 4.77790e-003 179.901 5.08220e-003 159.973 5.80150e+001 -30.702 5.77393e+001 -30.698 1.00000e+000 0.000 2.49408e-001 112.675 1.73218e-002 89.901 1.00000e+000 -121.690 1.71986e-002 -93.945 2.49408e-001 -67.325 1.73218e-002 -90.099
1.1233e-002 1.00000e+000 58.310 9.97518e-001 -4.037 1.00000e+000 -0.000 7.04054e-002 -157.417 1.00000e+000 116.620 5.00654e-003 179.898 5.31133e-003 160.394 5.66817e+001 -30.679 5.63994e+001 -30.674 1.00000e+000 0.000 2.49380e-001 112.583 1.77334e-002 89.898 1.00000e+000 -121.690 1.76013e-002 -94.037 2.49380e-001 -67.417 1.77334e-002 -90.102
1.1498e-002 1.00000e+000 58.310 9.97401e-001 -4.132 1.00000e+000 -0.000 7.20536e-002 -157.512 1.00000e+000 116.620 5.24618e-003 179.896 5.55144e-003 160.807 5.53790e+001 -30.655 5.50901e+001 -30.650 1.00000e+000 0.000 2.49350e-001 112.488 1.81551e-002 89.896 1.00000e+000 -121.690 1.80134e-002 -94.132 2.49350e-001 -67.512 1.81551e-002 -90.104
1.1768e-002 1.00000e+000 58.310 9.97278e-001 -4.229 1.00000e+000 -0.000 7.37400e-002 -157.609 1.00000e+000 116.620 5.49736e-003 179.894 5.80308e-003 161.213 5.41062e+001 -30.631 5.38105e+001 -30.625 1.00000e+000 0.000 2.49319e-001 112.391 1.85869e-002 89.894 1.00000e+000 -121.690 1.84350e-002 -94.229 2.49319e-001 -67.609 1.85869e-002 -90.106
1.2045e-002 1.00000e+000 58.310 9.97148e-001 -4.328 1.00000e+000 -0.000 7.54654e-002 -157.708 1.00000e+000 116.620 5.76063e-003 179.891 6.06679e-003 161.611 5.28628e+001 -30.606 5.25601e+001 -30.600 1.00000e+000 0.000 2.49287e-001 112.292 1.90293e-002 89.891 1.00000e+000 -121.690 1.88663e-002 -94.328 2.49287e-001 -67.708 1.90293e-002 -90.109
1.2328e-002 1.00000e+000 58.310 9.97013e-001 -4.429 1.00000e+000 -0.000 7.72307e-002 -157.809 1.00000e+000 116.620 6.03658e-003 179.888 6.34318e-003 162.001 5.16479e+001 -30.580 5.13381e+001 -30.574 1.00000e+000 0.000 2.49253e-001 112.191 1.94824e-002 89.888 1.00000e+000 -121.690 1.93077e-002 -94.429 2.49253e-001 -67.809 1.94824e-002 -90.112
1.2619e-002 1.00000e+000 58.310 9.96872e-001 -4.533 1.00000e+000 -0.000 7.90368e-002 -157.913 1.00000e+000 116.620 6.32583e-003 179.886 6.63286e-003 162.385 5.04609e+001 -30.554 5.01439e+001 -30.547 1.00000e+000 0.000 2.49218e-001 112.087 1.99465e-002 89.886 1.00000e+000 -121.690 1.97592e-002 -94.533 2.49218e-001 -67.913 1.99465e-002 -90.114
1.2915e-002 1.00000e+000 58.310 9.96723e-001 -4.639 1.00000e+000 -0.000 8.08846e-002 -158.019 1.00000e+000 116.620 6.62904e-003 179.883 6.93648e-003 162.761 4.93013e+001 -30.528 4.89768e+001 -30.520 1.00000e+000 0.000 2.49181e-001 111.981 2.04221e-002 89.883 1.00000e+000 -121.690 2.02211e-002 -94.639 2.49181e-001 -68.019 2.04221e-002 -90.117
